MRI_session,AP_GSR,PA_GSR,AP_NoGSR,PA_NoGSR,SCI_GSR,SCI_NoGSR
23598,-2.871463639,-6.641745619,0.882481004,-7.270014895,-4.756604629,-3.193766946
23619,-4.721141302,-3.411455755,-4.016549359,-3.558784437,-4.066298529,-3.787666898
23634,-7.210402547,-5.096674884,-2.469997514,-3.033389214,-6.153538716,-2.751693364
23635,-6.96015147,-6.081410113,-8.168267294,-4.007013887,-6.520780792,-6.08764059
23637,-6.344167145,-4.332699326,-11.4772838,-4.083520839,-5.338433235,-7.78040232
23638,-3.350774256,-5.320992389,-2.725524826,-4.935783587,-4.335883323,-3.830654207
23684,-6.351588271,-6.156140076,-5.553029182,-4.526222304,-6.253864174,-5.039625743
23714,-5.671382553,-7.204712188,-3.271535526,-6.76983893,-6.438047371,-5.020687228
23725,-5.639844113,-5.473462283,-5.18148669,-4.767471615,-5.556653198,-4.974479152
23739,-7.17745079,-1.727516555,-7.497671483,-1.215428086,-4.452483672,-4.356549785
23742,-6.129877635,-5.724569445,-4.10827502,-4.302166721,-5.92722354,-4.20522087
23743,-5.223432551,-7.511672838,-5.06939985,-5.033745824,-6.367552694,-5.051572837
23748,-3.706559726,-6.630375166,-4.161665023,-6.034373138,-5.168467446,-5.098019081
23750,-3.663871612,-6.405589328,-5.090629239,-3.898139916,-5.03473047,-4.494384577
23758,-4.445107279,-4.134994654,-3.812239623,-3.193016952,-4.290050966,-3.502628288
23799,-5.893294539,-5.093787061,-7.084102851,-5.519244351,-5.4935408,-6.301673601
